barcode,name,price,salePrice,category,expiryDate,quantity,imageUrl,description
7290000001111,לחם שיפון מלא,8.90,6.90,לחם ומאפים טריים,2025-01-15,50,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=400,לחם שיפון מלא העשוי מקמח מלא 100% עם זרעי חמניה ושומשום. אפוי טרי מדי יום בתנור המאפייה שלנו
7290000001112,חלות שבת,12.90,9.90,לחם ומאפים טריים,2025-01-10,30,https://images.unsplash.com/photo-1549931319-a545dcf3bc73?w=400,חלת שבת מיוחדת עם ביצים ושמן זית. מתכון מסורתי עתיק שעובר מדור לדור. משקל כ-600 גרם
7290000002111,חיתולים פמפרס,89.90,79.90,פארם ותינוקות,2026-12-31,100,https://images.unsplash.com/photo-1515488042361-ee00e0ddd4e4?w=400,חבילת חיתולים פמפרס מידה 4 - 52 יחידות. סופגים במיוחד עם ציפוי אלוורה לעור רגיש. מתאים למשקל 8-14 ק"ג
7290000002112,מוצצים אורתודונטים,15.90,12.90,פארם ותינוקות,2027-06-30,40,https://images.unsplash.com/photo-1515488042361-ee00e0ddd4e4?w=400,זוג מוצצים אורתודונטיים מסיליקון רפואי. עיצוב מיוחד לפיתוח נכון של החיך והלסתות. ללא BPA. גילאי 0-6 חודשים
7290000003111,צלחות חד פעמי,19.90,14.90,חד פעמי ומטבח,2026-12-31,80,https://images.unsplash.com/photo-1584308972272-9e4e7685e80f?w=400,חבילת 50 צלחות חד פעמי בקוטר 26 ס"מ. עשויות מחומר ידידותי לסביבה וניתנות לפירוק ביולוגי. חזקות ועמידות במיוחד
7290000003112,נייר אפייה,12.90,9.90,חד פעמי ומטבח,2027-01-31,60,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=400,גליל נייר אפייה איכותי 8 מטר. עמיד בטמפרטורות גבוהות עד 220 מעלות. מתאים לכל סוגי האפייה והבישול
7290000004111,חומר ניקוי רצפות,24.90,19.90,אחזקת הבית ובע"ח,2026-08-31,45,https://images.unsplash.com/photo-1585421514738-01798e348b17?w=400,חומר ניקוי רצפות בניחוח לבנדר. מנקה ומחטא בבת אחת. מתאים לכל סוגי הרצפות. נפח 1 לטר. עם נוסחה ידידותית לסביבה
7290000004112,מזון לכלבים,79.90,69.90,אחזקת הבית ובע"ח,2026-03-31,25,https://images.unsplash.com/photo-1589924691995-400dc9ecc119?w=400,שק מזון יבש לכלבים בוגרים 10 ק"ג. עשיר בחלבון מבשר טרי ועוף. מכיל ויטמינים ומינרלים לבריאות מיטבית. ללא צבעי מאכל
7290000005111,במבה אסם,4.90,3.90,חטיפים ומתוקים,2025-06-30,120,https://images.unsplash.com/photo-1599490659213-e2b9527bd087?w=400,חטיף במבה קלאסי 50 גרם. עשוי מבוטנים קלויים ללא גלוטן. חטיף הבוטנים האהוב על הישראלים. כשר פרווה
7290000005112,שוקולד מילקה,9.90,7.90,חטיפים ומתוקים,2025-09-30,90,https://images.unsplash.com/photo-1511381939415-e44015466834?w=400,טבלת שוקולד חלב מילקה 100 גרם. שוקולד חלב משובח עם טעם עדין ומתוק. תוצרת גרמניה. מכיל חלב וסויה
